n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
1000,3,2,both,0.0014851888020833333,0.0014851888020833333,0.002871433893839518,0.002871433893839518,0.517228972350613,,,
5000,3,2,both,0.0018156369527180989,0.0018156369527180989,0.0030100345611572266,0.0030100345611572266,0.6031947194719471,,,
10000,3,2,both,0.00416111946105957,0.00416111946105957,0.005446592966715495,0.005446592966715495,0.7639857588933959,,,
25000,3,2,both,0.012490034103393555,0.012490034103393555,0.015558958053588867,0.015558958053588867,0.8027551755313443,,,
50000,3,2,both,0.02169458071390788,0.02169458071390788,0.020589590072631836,0.020589590072631836,1.0536674424977903,,,
75000,3,2,both,0.05836963653564453,0.05836963653564453,0.04642605781555176,0.04642605781555176,1.2572602387983054,,,
100000,3,2,both,0.05827768643697103,0.05827768643697103,0.04976781209309896,0.04976781209309896,1.1709915301872813,,,
1000,3,4,both,0.001340945561726888,0.001340945561726888,0.004213571548461914,0.004213571548461914,0.3182444029498859,,,
5000,3,4,both,0.0018376509348551433,0.0018376509348551433,0.0027942657470703125,0.0027942657470703125,0.6576507394766781,,,
10000,3,4,both,0.004765907923380534,0.004765907923380534,0.004550774892171224,0.004550774892171224,1.047273933847927,,,
25000,3,4,both,0.012874603271484375,0.012874603271484375,0.008026043574015299,0.008026043574015299,1.6041033359408265,,,
50000,3,4,both,0.023160696029663086,0.023160696029663086,0.013327280680338541,0.013327280680338541,1.7378410934071178,,,
75000,3,4,both,0.05362510681152344,0.05362510681152344,0.031156619389851887,0.031156619389851887,1.7211465127371883,,,
100000,3,4,both,0.05459753672281901,0.05459753672281901,0.03010392189025879,0.03010392189025879,1.8136353436555392,,,
1000,3,6,both,0.0010327498118082683,0.0010327498118082683,0.0034623940785725913,0.0034623940785725913,0.2982762182385751,,,
5000,3,6,both,0.0018287499745686848,0.0018287499745686848,0.0027161439259847007,0.0027161439259847007,0.6732890540421921,,,
10000,3,6,both,0.0038927396138509116,0.0038927396138509116,0.0039395491282145185,0.0039395491282145185,0.988118052893829,,,
25000,3,6,both,0.012929677963256836,0.012929677963256836,0.007158915201822917,0.007158915201822917,1.8060945825932504,,,
50000,3,6,both,0.02218349774678548,0.02218349774678548,0.009947617848714193,0.009947617848714193,2.230031157625629,,,
75000,3,6,both,0.05424276987711588,0.05424276987711588,0.025775909423828125,0.025775909423828125,2.104397908341966,,,
100000,3,6,both,0.05440433820088705,0.05440433820088705,0.02901140848795573,0.02901140848795573,1.8752739365782034,,,
1000,3,8,both,0.0012595653533935547,0.0012595653533935547,0.0056807200113932295,0.0056807200113932295,0.22172635702294347,,,
5000,3,8,both,0.0019423961639404297,0.0019423961639404297,0.0046393076578776045,0.0046393076578776045,0.4186823352062491,,,
10000,3,8,both,0.004130760828653972,0.004130760828653972,0.007181088129679362,0.007181088129679362,0.5752277028298233,,,
25000,3,8,both,0.014426787694295248,0.014426787694295248,0.012814680735270182,0.012814680735270182,1.1258015702715107,,,
50000,3,8,both,0.024627685546875,0.024627685546875,0.016141653060913086,0.016141653060913086,1.5257226415373026,,,
75000,3,8,both,0.06040604909261068,0.06040604909261068,0.04138859113057455,0.04138859113057455,1.4594855114067309,,,
100000,3,8,both,0.06011096636454264,0.06011096636454264,0.03897531827290853,0.03897531827290853,1.5422828864062246,,,
1000,5,2,both,0.0030686060587565103,0.0030686060587565103,0.007039626439412435,0.007039626439412435,0.43590467266507865,,,
5000,5,2,both,0.004810889561971028,0.004810889561971028,0.007940928141276041,0.007940928141276041,0.6058346677341874,,,
10000,5,2,both,0.009181976318359375,0.009181976318359375,0.008795420328776041,0.008795420328776041,1.0439496891716062,,,
