n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
1000,3,1,both,1.2525521119435628,1.2525521119435628,0.0075444380442301435,0.0075444380442301435,166.02324846467434,,,
5000,3,1,both,1.3044695854187012,1.3044695854187012,0.010739803314208984,0.010739803314208984,121.46121742219064,,,
10000,3,1,both,1.3067362308502197,1.3067362308502197,0.023151397705078125,0.023151397705078125,56.44308164442248,,,
25000,3,1,both,1.235029935836792,1.235029935836792,0.059634764989217125,0.059634764989217125,20.709898597908523,,,
50000,3,1,both,1.300137201944987,1.300137201944987,0.08945528666178386,0.08945528666178386,14.533933660741573,,,
75000,3,1,both,1.3601259390513103,1.3601259390513103,0.21811556816101074,0.21811556816101074,6.235804030491207,,,
100000,3,1,both,1.3447097937266033,1.3447097937266033,0.2124619483947754,0.2124619483947754,6.329179431358687,,,
1000,3,2,both,1.2301671504974365,1.2301671504974365,0.010129928588867188,0.010129928588867188,121.43887685934853,,,
5000,3,2,both,1.2313564618428547,1.2313564618428547,0.010368585586547852,0.010368585586547852,118.7583833459802,,,
10000,3,2,both,1.271333932876587,1.271333932876587,0.023502429326375324,0.023502429326375324,54.09372432192988,,,
25000,3,2,both,1.282392104466756,1.282392104466756,0.05320143699645996,0.05320143699645996,24.104463654846143,,,
50000,3,2,both,1.3233065605163574,1.3233065605163574,0.050829013188680015,0.050829013188680015,26.03447278435591,,,
75000,3,2,both,1.4122931162516277,1.4122931162516277,0.12986977895100912,0.12986977895100912,10.874686379379979,,,
100000,3,2,both,1.3354113101959229,1.3354113101959229,0.12825791041056314,0.12825791041056314,10.41192161887849,,,
1000,3,4,both,1.1924201647440593,1.1924201647440593,0.010084072748819986,0.010084072748819986,118.24787409269666,,,
5000,3,4,both,1.225183327992757,1.225183327992757,0.0101165771484375,0.0101165771484375,121.10650766716942,,,
10000,3,4,both,1.269327720006307,1.269327720006307,0.01684125264485677,0.01684125264485677,75.37014892974442,,,
25000,3,4,both,1.291623592376709,1.291623592376709,0.03220613797505697,0.03220613797505697,40.10488911700765,,,
50000,3,4,both,1.3721118768056233,1.3721118768056233,0.046863158543904625,0.046863158543904625,29.27911646245813,,,
75000,3,4,both,1.424402157465617,1.424402157465617,0.10582852363586426,0.10582852363586426,13.459529704550285,,,
100000,3,4,both,1.4316744009653728,1.4316744009653728,0.09000841776529948,0.09000841776529948,15.906005643811232,,,
1000,3,6,both,1.4799597263336182,1.4799597263336182,0.014566262563069662,0.014566262563069662,101.60188448654016,,,
5000,3,6,both,1.2357051372528076,1.2357051372528076,0.010706901550292969,0.010706901550292969,115.41202013004364,,,
10000,3,6,both,1.2364513079325359,1.2364513079325359,0.02253834406534831,0.02253834406534831,54.85990028138421,,,
25000,3,6,both,1.2529099782307942,1.2529099782307942,0.038243770599365234,0.038243770599365234,32.76115191036079,,,
50000,3,6,both,1.2705036799112956,1.2705036799112956,0.03201444943745931,0.03201444943745931,39.68532029242742,,,
75000,3,6,both,1.3471384048461914,1.3471384048461914,0.07152708371480306,0.07152708371480306,18.833962394127237,,,
100000,3,6,both,1.3442696730295818,1.3442696730295818,0.08652583758036296,0.08652583758036296,15.536049238252781,,,
1000,3,1,both,1.2304764588673909,1.2304764588673909,0.006432930628458659,0.006432930628458659,191.27774414726048,,,
