n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
1000,5,1,both,1.2658697764078777,1.2658697764078777,0.017015933990478516,0.017015933990478516,74.39319975713418,,,
5000,5,1,both,1.1363835334777832,1.1363835334777832,0.026663939158121746,0.026663939158121746,42.61874161723942,,,
10000,5,1,both,1.2512857913970947,1.2512857913970947,0.04317704836527506,0.04317704836527506,28.98034578026958,,,
25000,5,1,both,1.274851401646932,1.274851401646932,0.10294222831726074,0.10294222831726074,12.384144218424426,,,
50000,5,1,both,1.4035569826761882,1.4035569826761882,0.21413310368855795,0.21413310368855795,6.554600659585855,,,
75000,5,1,both,1.4102050463358562,1.4102050463358562,0.3791351318359375,0.3791351318359375,3.7195314491353755,,,
100000,5,1,both,1.5179601510365803,1.5179601510365803,0.4989643891652425,0.4989643891652425,3.0422214169955044,,,
1000,5,2,both,1.5189260641733806,1.5189260641733806,0.018267075220743816,0.018267075220743816,83.15102696070967,,,
5000,5,2,both,1.2296101252237956,1.2296101252237956,0.021331389745076496,0.021331389745076496,57.64322624631629,,,
10000,5,2,both,1.257010857264201,1.257010857264201,0.02448725700378418,0.02448725700378418,51.33326517829035,,,
25000,5,2,both,1.2773571809132893,1.2773571809132893,0.06469964981079102,0.06469964981079102,19.74287626979155,,,
50000,5,2,both,1.3569265206654866,1.3569265206654866,0.13733228047688803,0.13733228047688803,9.880608666466053,,,
75000,5,2,both,1.4392116864522297,1.4392116864522297,0.21089394887288412,0.21089394887288412,6.8243384608427595,,,
100000,5,2,both,1.5166831016540527,1.5166831016540527,0.282224178314209,0.282224178314209,5.374036734604227,,,
1000,5,4,both,1.1798694133758545,1.1798694133758545,0.020432154337565105,0.020432154337565105,57.745717552976316,,,
5000,5,4,both,1.2135035991668701,1.2135035991668701,0.019818782806396484,0.019818782806396484,61.22997618073767,,,
10000,5,4,both,1.2535800139109294,1.2535800139109294,0.023726383845011394,0.023726383845011394,52.83485347365742,,,
25000,5,4,both,1.2612889607747395,1.2612889607747395,0.046104113260904946,0.046104113260904946,27.357406347608443,,,
50000,5,4,both,1.3407550652821858,1.3407550652821858,0.09215164184570312,0.09215164184570312,14.549443053083301,,,
75000,5,4,both,1.3938628037770588,1.3938628037770588,0.14420215288798013,0.14420215288798013,9.66603324473142,,,
100000,5,4,both,1.4821618398030598,1.4821618398030598,0.17657319704691568,0.17657319704691568,8.394036380330407,,,
1000,5,6,both,1.2029013633728027,1.2029013633728027,0.034059365590413414,0.034059365590413414,35.31778535861454,,,
5000,5,6,both,1.2284785111745198,1.2284785111745198,0.03268265724182129,0.03268265724182129,37.58808538990329,,,
10000,5,6,both,1.233198086420695,1.233198086420695,0.019827922185262043,0.019827922185262043,62.19502350767357,,,
25000,5,6,both,1.2586627801259358,1.2586627801259358,0.06040811538696289,0.06040811538696289,20.83598821223244,,,
50000,5,6,both,1.4129385153452556,1.4129385153452556,0.08164445559183757,0.08164445559183757,17.305994694960212,,,
